culture,required_combo,purpose,equipmentType,found_count,status,tier
erebor,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
erebor,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
erebor,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
erebor,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
erebor,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,2,PASS,mandatory
erebor,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,2,PASS,mandatory
erebor,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
erebor,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
erebor,IsKingdomRulerTemplate,Male king battle,Battle,0,MISSING-OPTIONAL,optional
erebor,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,0,MISSING-OPTIONAL,optional
erebor,IsKingdomRulerTemplate,Male king civilian,Civilian,0,MISSING-OPTIONAL,optional
erebor,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,0,MISSING-OPTIONAL,optional
rivendell,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
rivendell,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
rivendell,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
rivendell,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
rivendell,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,2,PASS,mandatory
rivendell,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,2,PASS,mandatory
rivendell,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
rivendell,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
rivendell,IsKingdomRulerTemplate,Male king battle,Battle,0,MISSING-OPTIONAL,optional
rivendell,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,0,MISSING-OPTIONAL,optional
rivendell,IsKingdomRulerTemplate,Male king civilian,Civilian,0,MISSING-OPTIONAL,optional
rivendell,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,0,MISSING-OPTIONAL,optional
mirkwood,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
mirkwood,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
mirkwood,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
mirkwood,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
mirkwood,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,1,PASS,mandatory
mirkwood,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,1,PASS,mandatory
mirkwood,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
mirkwood,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
mirkwood,IsKingdomRulerTemplate,Male king battle,Battle,0,MISSING-OPTIONAL,optional
mirkwood,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,0,MISSING-OPTIONAL,optional
mirkwood,IsKingdomRulerTemplate,Male king civilian,Civilian,0,MISSING-OPTIONAL,optional
mirkwood,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,0,MISSING-OPTIONAL,optional
lothlorien,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
lothlorien,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
lothlorien,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
lothlorien,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
lothlorien,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,2,PASS,mandatory
lothlorien,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,2,PASS,mandatory
lothlorien,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
